iter	Passed	Remaining
0	75	75773
1	80	40024
2	84	28092
3	89	22181
4	92	18401
5	97	16170
6	100	14309
7	104	12920
8	107	11815
9	113	11248
10	116	10495
11	118	9756
12	120	9149
13	122	8623
14	125	8262
15	127	7867
16	129	7516
17	132	7203
18	134	6953
19	136	6708
20	140	6573
21	142	6348
22	144	6141
23	146	5938
24	147	5734
25	147	5540
26	148	5359
27	149	5192
28	150	5036
29	151	4893
30	152	4775
31	154	4658
32	154	4538
33	155	4427
34	156	4321
35	157	4219
36	158	4122
37	159	4031
38	160	3945
39	160	3863
40	161	3784
41	162	3710
42	163	3639
43	164	3571
44	165	3508
45	166	3445
46	168	3407
47	169	3352
48	169	3298
49	170	3245
50	171	3193
51	172	3144
52	173	3097
53	174	3060
54	175	3016
55	176	2973
56	177	2932
57	178	2892
58	178	2853
59	179	2815
60	180	2779
61	181	2746
62	183	2721
63	183	2689
64	184	2657
65	185	2625
66	186	2595
67	187	2565
68	188	2537
69	189	2512
70	189	2485
71	190	2459
72	191	2433
73	192	2409
74	193	2385
75	194	2361
76	195	2338
77	196	2318
78	197	2299
79	198	2282
80	199	2262
81	200	2242
82	200	2218
83	201	2199
84	202	2181
85	203	2165
86	204	2146
87	205	2128
88	206	2111
89	207	2094
90	207	2077
91	208	2060
92	209	2044
93	210	2030
94	211	2014
95	212	2001
96	213	1989
97	214	1976
98	215	1963
99	216	1950
100	218	1940
101	219	1929
102	220	1917
103	220	1903
104	221	1890
105	222	1877
106	223	1865
107	224	1852
108	225	1844
109	226	1833
110	227	1824
111	229	1815
112	229	1804
113	230	1793
114	231	1782
115	232	1772
116	233	1760
117	234	1750
118	234	1739
119	235	1729
120	236	1719
121	237	1707
122	238	1698
123	239	1690
124	240	1680
125	241	1671
126	241	1661
127	242	1653
128	243	1647
129	244	1638
130	245	1629
131	246	1621
132	248	1618
133	249	1610
134	250	1602
135	250	1593
136	251	1585
137	252	1577
138	253	1569
139	254	1563
140	255	1555
141	255	1546
142	256	1538
143	257	1531
144	258	1527
145	259	1520
146	260	1512
147	261	1507
148	262	1500
149	263	1493
150	264	1486
151	265	1479
152	266	1473
153	267	1467
154	267	1460
155	268	1454
156	269	1448
157	270	1441
158	271	1435
159	272	1429
